Titulo,Documentary,Sci-Fi,Mystery,Horror,Romance,Thriller,Crime,Fantasy,Comedy,Animation,Children,Drama,Adventure,Duracao,Investimento,Gostou
Shining The (1980),0,0,0,1,0,0,0,0,0,0,0,0,0,1065463022,9883980643,1
Stand by Me (1986),0,0,0,0,0,0,0,0,0,0,0,1,1,9338935145,6647469135,1
M (1931),0,0,0,0,0,0,1,0,0,0,0,0,0,9974205898,9707016509,1
Great Escape The (1963),0,0,0,0,0,0,0,0,0,0,0,1,1,1163035932,4764267847,1
Deer Hunter The (1978),0,0,0,0,0,0,0,0,0,0,0,1,0,1085813146,4540874142,1
Diva (1981),0,0,1,0,1,0,0,0,0,0,0,1,0,9708721051,5934287252,1
Groundhog Day (1993),0,0,0,0,1,0,0,1,1,0,0,0,0,8227940755,5382005209,1
Unforgiven (1992),0,0,0,0,0,0,0,0,0,0,0,1,0,1005531869,3170480942,1
Manchurian Candidate The (1962),0,0,0,0,0,0,1,0,0,0,0,0,0,9743449895,2054458738,1
Pump Up the Volume (1990),0,0,0,0,0,0,0,0,1,0,0,1,0,1398505381,2826484671,0
Back to the Future (1985),0,1,0,0,0,0,0,0,1,0,0,0,1,102710193,288230087,0
Patton (1970),0,0,0,0,0,0,0,0,0,0,0,1,0,9798557839,5940892351,1
Down by Law (1986),0,0,0,0,0,0,0,0,1,0,0,1,0,1059266346,2163325399,1
Cool Hand Luke (1967),0,0,0,0,0,0,0,0,0,0,0,1,0,1087991286,3847799202,1
Young Frankenstein (1974),0,0,0,0,0,0,0,1,1,0,0,0,0,9426853448,4638974729,1
Night on Earth (1991),0,0,0,0,0,0,0,0,1,0,0,1,0,1040193847,3805286932,1
Great Dictator The (1940),0,0,0,0,0,0,0,0,1,0,0,1,0,1165427568,4258450501,1
Fantasia (1940),0,0,0,0,0,0,0,1,0,1,1,0,0,9003059091,3870439783,1
High Noon (1952),0,0,0,0,0,0,0,0,0,0,0,1,0,1366611268,8864537936,1
Big Sleep The (1946),0,0,1,0,0,0,1,0,0,0,0,0,0,7701385515,1130857109,1
Heathers (1989),0,0,0,0,0,0,0,0,1,0,0,0,0,1100487601,1163033393,1
Ben-Hur (1959),0,0,0,0,0,0,0,0,0,0,0,1,1,8598851894,7501683499,1
This Is Spinal Tap (1984),0,0,0,0,0,0,0,0,1,0,0,0,0,93433868,1241562519,1
Koyaanisqatsi (a.k.a. Koyaanisqatsi: Life Out of Balance) (1983),1,0,0,0,0,0,0,0,0,0,0,0,0,1161819684,8768843781,1
Being There (1979),0,0,0,0,0,0,0,0,1,0,0,1,0,9958098319,220889119,1
Gandhi (1982),0,0,0,0,0,0,0,0,0,0,0,1,0,1309847777,4783211997,1
Room with a View A (1986),0,0,0,0,1,0,0,0,0,0,0,1,0,1366359307,6706883998,1
Killing Fields The (1984),0,0,0,0,0,0,0,0,0,0,0,1,0,1108802727,5367540813,1
My Life as a Dog (Mitt liv som hund) (1985),0,0,0,0,0,0,0,0,1,0,0,1,0,9244736187,1451822703,1
Field of Dreams (1989),0,0,0,0,0,0,0,1,0,0,1,1,0,1143201256,3766133873,0
Butch Cassidy and the Sundance Kid (1969),0,0,0,0,0,0,0,0,0,0,0,0,0,9919426093,4279501715,1
When Harry Met Sally... (1989),0,0,0,0,1,0,0,0,1,0,0,0,0,1026501588,1217997647,0
Alien_ (a.k.a. Alien 3) (1992),0,1,0,1,0,0,0,0,0,0,0,0,0,1284701998,3757717137,0
American Werewolf in London An (1981),0,0,0,1,0,0,0,0,1,0,0,0,0,125788133,104169006,1
Amityville 3-D (1983),0,0,0,1,0,0,0,0,0,0,0,0,0,1044030247,350127028,0
Amityville Horror The (1979),0,0,1,1,0,0,0,0,0,0,0,1,0,1155341355,4934439,1
Birds The (1963),0,0,0,1,0,0,0,0,0,0,0,0,0,1044854639,2855934779,1
Dracula (Bram Stoker's Dracula) (1992),0,0,0,1,1,0,0,1,0,0,0,0,0,116611607,4466574078,0
Bride of Frankenstein The (Bride of Frankenstein) (1935),0,1,0,1,0,0,0,0,0,0,0,1,0,1031144192,4682143645,1
Burnt Offerings (1976),0,0,0,1,0,0,0,0,0,0,0,0,0,1131393856,6928659094,1
Candyman (1992),0,0,0,1,0,0,0,0,0,0,0,0,0,1087605577,8001008685,0
Carrie (1976),0,0,0,1,0,0,0,1,0,0,0,1,0,9628714619,2022730101,1
Cat People (1982),0,0,0,1,0,0,0,1,0,0,0,1,0,1093050447,3793103749,0
Nightmare on Elm Street A (1984),0,0,0,1,0,0,0,0,0,0,0,0,0,1168966029,2730627659,1
Nosferatu (Nosferatu eine Symphonie des Grauens) (1922),0,0,0,1,0,0,0,0,0,0,0,0,0,9800755964,4370078177,1
Omen The (1976),0,0,1,1,0,0,0,0,0,0,0,0,0,1376429132,1268245976,1
Shine (1996),0,0,0,0,1,0,0,0,0,0,0,1,0,1023544815,6026249429,1
Sling Blade (1996),0,0,0,0,0,0,0,0,0,0,0,1,0,1007144967,39345091,0
Paradise Lost: The Child Murders at Robin Hood Hills (1996),1,0,0,0,0,0,0,0,0,0,0,0,0,8378625319,1230340535,1
Crucible The (1996),0,0,0,0,0,0,0,0,0,0,0,1,0,1174860888,2414548477,1
Star Trek II: The Wrath of Khan (1982),0,1,0,0,0,0,0,0,0,0,0,0,1,1045875444,1211168423,1
Batman Returns (1992),0,0,0,0,0,0,1,0,0,0,0,0,0,9988970814,3927002031,0
Grease (1978),0,0,0,0,1,0,0,0,1,0,0,0,0,9114899706,243051677,1
Substance of Fire The (1996),0,0,0,0,0,0,0,0,0,0,0,1,0,1246613049,5930367993,1
Jaws (1975),0,0,0,1,0,0,0,0,0,0,0,0,0,131959683,1405019625,1
Jaws 3-D (1983),0,0,0,1,0,0,0,0,0,0,0,0,0,111709308,3936104527,0
Jerry Maguire (1996),0,0,0,0,1,0,0,0,0,0,0,1,0,9213661837,2241151784,0
Raising Arizona (1987),0,0,0,0,0,0,0,0,1,0,0,0,0,1092998192,223932021,1
Beavis and Butt-Head Do America (1996),0,0,0,0,0,0,1,0,1,1,0,0,1,1249053923,3267783033,1
Scream (1996),0,0,1,1,0,0,0,0,1,0,0,0,0,9713644326,1147469704,1
Hamlet (1996),0,0,0,0,1,0,1,0,0,0,0,1,0,773875455,632099423,1
Message to Love: The Isle of Wight Festival (1996),1,0,0,0,0,0,0,0,0,0,0,0,0,1105890599,8704405536,1
Waiting for Guffman (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,1101725715,1584606352,1
Donnie Brasco (1997),0,0,0,0,0,0,1,0,0,0,0,1,0,1040778116,3369588991,1
Children of the Revolution (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,1315953473,1881424202,1
Austin Powers: International Man of Mystery (1997),0,0,0,0,0,0,0,0,1,0,0,0,1,9446611609,1767623369,1
Love! Valour! Compassion! (1997),0,0,0,0,1,0,0,0,0,0,0,1,0,8334464536,2320923698,1
Pillow Book The (1996),0,0,0,0,1,0,0,0,0,0,0,1,0,1142349096,2354420247,1
Contact (1997),0,1,0,0,0,0,0,0,0,0,0,1,0,7435121874,6451983876,0
In the Company of Men (1997),0,0,0,0,0,0,0,0,1,0,0,1,0,1454442894,3629057393,0
Hunt for Red October The (1990),0,0,0,0,0,0,0,0,0,0,0,0,1,1028141482,1044299583,0
My Own Private Idaho (1991),0,0,0,0,1,0,0,0,0,0,0,1,0,7747247404,38726321,1
L.A. Confidential (1997),0,0,1,0,0,0,1,0,0,0,0,0,0,8309105404,1333141483,1
I Know What You Did Last Summer (1997),0,0,1,1,0,0,0,0,0,0,0,0,0,1089454412,1000544155,0
House of Yes The (1997),0,0,0,0,0,0,0,0,1,0,0,1,0,1057057142,1912329317,1
Stripes (1981),0,0,0,0,0,0,0,0,1,0,0,0,0,1308357795,7718269404,1
Boogie Nights (1997),0,0,0,0,0,0,0,0,0,0,0,1,0,1109925567,4253270671,1
Alien: Resurrection (1997),0,1,0,1,0,0,0,0,0,0,0,0,0,1116048169,3615932902,1
Deconstructing Harry (1997),0,0,0,0,0,0,0,0,1,0,0,1,0,9361145923,1425449262,1
Good Will Hunting (1997),0,0,0,0,1,0,0,0,0,0,0,1,0,9260287888,2554232739,0
Scream 2 (1997),0,0,1,1,0,0,0,0,1,0,0,0,0,1251923743,1564179525,1
Sweet Hereafter The (1997),0,0,0,0,0,0,0,0,0,0,0,1,0,930615957,1666904077,1
Jackie Brown (1997),0,0,0,0,0,0,1,0,0,0,0,1,0,8725013288,3614744058,1
Big Lebowski The (1998),0,0,0,0,0,0,1,0,1,0,0,0,0,8978868672,3705312525,1
My Life in Pink (Ma vie en rose) (1997),0,0,0,0,0,0,0,0,1,0,0,1,0,100383999,9824883322,1
Men with Guns (1997),0,0,0,0,0,0,0,0,0,0,0,1,0,1087216428,896360615,1
Everest (1998),1,0,0,0,0,0,0,0,0,0,0,0,0,1340686637,1777503258,1
Last Days of Disco The (1998),0,0,0,0,0,0,0,0,1,0,0,1,0,117904317,1532018517,1
Gingerbread Man The (1998),0,0,0,0,0,0,0,0,0,0,0,1,0,8832542808,8379157008,1
Kurt & Courtney (1998),1,0,0,0,0,0,0,0,0,0,0,0,0,8405297516,5117626319,0
Bulworth (1998),0,0,0,0,1,0,0,0,1,0,0,1,0,8473791645,1851042174,1
Fear and Loathing in Las Vegas (1998),0,0,0,0,0,0,0,0,1,0,0,1,1,1178541906,1266063591,0
Hope Floats (1998),0,0,0,0,1,0,0,0,1,0,0,1,0,104900968,2736582949,0
Can't Hardly Wait (1998),0,0,0,0,1,0,0,0,1,0,0,1,0,1234551283,1647965871,0
There's Something About Mary (1998),0,0,0,0,1,0,0,0,1,0,0,0,0,1041668801,3755879785,0
Plan 9 from Outer Space (1959),0,1,0,1,0,0,0,0,0,0,0,0,0,1452981614,6287571755,1
All Quiet on the Western Front (1930),0,0,0,0,0,0,0,0,0,0,0,1,0,1374377297,5793612326,1
Grand Hotel (1932),0,0,0,0,1,0,0,0,0,0,0,1,0,7792593298,4835660421,1
Mutiny on the Bounty (1935),0,0,0,0,0,0,0,0,0,0,0,1,1,1279103262,2065552261,1
Best Years of Our Lives The (1946),0,0,0,0,0,0,0,0,0,0,0,1,0,843170993,2356003133,1
Hamlet (1948),0,0,0,0,0,0,0,0,0,0,0,1,0,1207437177,3778831135,1
From Here to Eternity (1953),0,0,0,0,1,0,0,0,0,0,0,1,0,6983807509,914039865,1
On the Waterfront (1954),0,0,0,0,0,0,1,0,0,0,0,1,0,8503680885,6090749419,1
Marty (1955),0,0,0,0,1,0,0,0,0,0,0,1,0,7679842022,2347945303,1
West Side Story (1961),0,0,0,0,1,0,0,0,0,0,0,1,0,1332436083,2043854131,1
In the Heat of the Night (1967),0,0,1,0,0,0,0,0,0,0,0,1,0,1314434797,1168203823,1
Midnight Cowboy (1969),0,0,0,0,0,0,0,0,0,0,0,1,0,1340080691,4561290251,1
French Connection The (1971),0,0,0,0,0,0,1,0,0,0,0,0,0,1364235283,1439184807,1
Rocky (1976),0,0,0,0,0,0,0,0,0,0,0,1,0,1092258242,1730852217,1
Kramer vs. Kramer (1979),0,0,0,0,0,0,0,0,0,0,0,1,0,989875672,1015179139,1
Ordinary People (1980),0,0,0,0,0,0,0,0,0,0,0,1,0,1283629914,3079805706,1
Chariots of Fire (1981),0,0,0,0,0,0,0,0,0,0,0,1,0,1231644704,4619334169,1
Terms of Endearment (1983),0,0,0,0,0,0,0,0,1,0,0,1,0,9116783558,3812860037,1
Last Emperor The (1987),0,0,0,0,0,0,0,0,0,0,0,1,0,1294515127,1438336897,1
Rain Man (1988),0,0,0,0,0,0,0,0,0,0,0,1,0,1140115082,1574503692,1
Driving Miss Daisy (1989),0,0,0,0,0,0,0,0,0,0,0,1,0,9229390682,4517280706,0
Repo Man (1984),0,1,0,0,0,0,0,0,1,0,0,0,0,1232633059,356601838,1
Metropolitan (1990),0,0,0,0,0,0,0,0,1,0,0,0,0,1172274641,1582106659,1
Breakfast Club The (1985),0,0,0,0,0,0,0,0,1,0,0,1,0,128730012,1450585379,1
Nightmare on Elm Street 2: Freddy's Revenge A (1985),0,0,0,1,0,0,0,0,0,0,0,0,0,1108284571,3678556394,1
Friday the 13th (1980),0,0,1,1,0,0,0,0,0,0,0,0,0,1485328267,2079244808,1
Halloween (1978),0,0,0,1,0,0,0,0,0,0,0,0,0,1311658368,3947949166,1
Prom Night (1980),0,0,0,1,0,0,0,0,0,0,0,0,0,1228629807,608933333,1
Poltergeist (1982),0,0,0,1,0,0,0,0,0,0,0,0,0,1003962604,8252992225,1
Exorcist The (1973),0,0,1,1,0,0,0,0,0,0,0,0,0,9628290834,2231462897,1
Exorcist III The (1990),0,0,0,1,0,0,0,0,0,0,0,0,0,1166886985,4297402268,0
Lethal Weapon (1987),0,0,0,0,0,0,1,0,1,0,0,1,0,1255332005,4609668958,0
Lethal Weapon 2 (1989),0,0,0,0,0,0,1,0,1,0,0,1,0,1453860412,4275067221,0
Gremlins (1984),0,0,0,1,0,0,0,0,1,0,0,0,0,1410451268,3021772388,0
Metropolis (1927),0,1,0,0,0,0,0,0,0,0,0,1,0,947323374,2278482565,1
Freaky Friday (1977),0,0,0,0,0,0,0,1,1,0,1,0,0,1182355861,115593509,1
Bambi (1942),0,0,0,0,0,0,0,0,0,1,1,1,0,1089930784,9127370363,1
Seven Samurai (Shichinin no samurai) (1954),0,0,0,0,0,0,0,0,0,0,0,1,1,112752308,1059458944,1
Dangerous Liaisons (1988),0,0,0,0,1,0,0,0,0,0,0,1,0,1271752123,4674005206,1
Dune (1984),0,1,0,0,0,0,0,0,0,0,0,0,1,1233514776,4412764441,1
Godfather: Part III The (1990),0,0,1,0,0,0,1,0,0,0,0,1,0,1129426599,4046268047,0
Darby O'Gill and the Little People (1959),0,0,0,0,0,0,0,1,0,0,1,0,1,6541352826,3041168308,0
Roger & Me (1989),1,0,0,0,0,0,0,0,0,0,0,0,0,1407286647,1183203077,1
Purple Rose of Cairo The (1985),0,0,0,0,1,0,0,1,1,0,0,1,0,1049647925,3571034583,1
Doctor Zhivago (1965),0,0,0,0,1,0,0,0,0,0,0,1,0,1236805446,3740391925,1
Fanny and Alexander (Fanny och Alexander) (1982),0,0,1,0,0,0,0,1,0,0,0,1,0,1196499124,2298207988,1
Trip to Bountiful The (1985),0,0,0,0,0,0,0,0,0,0,0,1,0,1294759487,1157460894,1
Tender Mercies (1983),0,0,0,0,1,0,0,0,0,0,0,1,0,1365619585,3641450014,1
Mephisto (1981),0,0,0,0,0,0,0,0,0,0,0,1,0,9083809846,5455288609,1
Blue Velvet (1986),0,0,1,0,0,0,0,0,0,0,0,1,0,632140971,3529434312,1
Jungle Book The (1967),0,0,0,0,0,0,0,0,1,1,1,0,0,1300990629,985273835,1
Lady and the Tramp (1955),0,0,0,0,1,0,0,0,1,1,1,0,0,7722006368,4947963623,1
101 Dalmatians (One Hundred and One Dalmatians) (1961),0,0,0,0,0,0,0,0,0,1,1,0,1,8972166293,4076166359,1
Peter Pan (1953),0,0,0,0,0,0,0,1,0,1,1,0,0,1262883998,1301366393,1
Popeye (1980),0,0,0,0,0,0,0,0,1,0,0,0,1,1263712337,1494114114,1
Rescuers The (1977),0,0,0,0,0,0,1,0,0,1,1,1,1,109219017,7966406842,1
Something Wicked This Way Comes (1983),0,0,1,0,0,0,0,1,0,0,1,1,0,1264621801,4806859767,1
Song of the South (1946),0,0,0,0,0,0,0,0,0,1,1,0,1,1121023319,4105211758,1
Splash (1984),0,0,0,0,1,0,0,1,1,0,0,0,0,8872178897,3884020317,1
Tron (1982),0,1,0,0,0,0,0,0,0,0,0,0,1,1061509555,39186277,0
Halloween H20: 20 Years Later (Halloween 7: The Revenge of Laurie Strode) (1998),0,0,0,1,0,0,0,0,0,0,0,0,0,950190662,261915866,0
Jerk The (1979),0,0,0,0,0,0,0,0,1,0,0,0,0,1066446143,1138551621,1
Dead Men Don't Wear Plaid (1982),0,0,0,0,0,0,1,0,1,0,0,0,0,7752722608,1222038401,0
Grand Canyon (1991),0,0,0,0,0,0,1,0,0,0,0,1,0,1021538697,6254873506,0
Dead Zone The (1983),0,0,0,0,0,0,0,0,0,0,0,0,0,8291564865,6470543484,1
Cujo (1983),0,0,0,1,0,0,0,0,0,0,0,0,0,1234782162,3739367575,0
Addams Family The (1991),0,0,0,0,0,0,0,1,1,0,1,0,0,127925046,1352122329,1
Atlantic City (1980),0,0,0,0,1,0,1,0,0,0,0,1,0,1205237382,7981520464,1
Who's Afraid of Virginia Woolf? (1966),0,0,0,0,0,0,0,0,0,0,0,1,0,115200772,493178267,1
Doctor Dolittle (1967),0,0,0,0,0,0,0,0,0,0,1,0,1,1354953073,4109315803,1
Charlotte's Web (1973),0,0,0,0,0,0,0,0,0,1,1,0,0,1001831272,1307212305,1
Watership Down (1978),0,0,0,0,0,0,0,1,0,1,1,1,1,1278197276,1678878462,1
Dark Crystal The (1982),0,0,0,0,0,0,0,1,0,0,0,0,1,8599820261,3180064209,0
Sixteen Candles (1984),0,0,0,0,1,0,0,0,1,0,0,0,0,1024227621,3730705096,0
Pretty in Pink (1986),0,0,0,0,1,0,0,0,1,0,0,1,0,1037850281,6131426641,0
St. Elmo's Fire (1985),0,0,0,0,1,0,0,0,0,0,0,1,0,1105627244,1120915097,0
Rosemary's Baby (1968),0,0,0,1,0,0,0,0,0,0,0,1,0,8325715015,1029972571,1
Attack of the Killer Tomatoes! (1978),0,0,0,1,0,0,0,0,1,0,0,0,0,8518168856,964988834,1
Beetlejuice (1988),0,0,0,0,0,0,0,1,1,0,0,0,0,9710479001,1328712192,1
Strangers on a Train (1951),0,0,0,0,0,0,1,0,0,0,0,1,0,880696919,1924223642,1
Willow (1988),0,0,0,0,0,0,0,1,0,0,0,0,1,1331520373,421107673,0
Untouchables The (1987),0,0,0,0,0,0,1,0,0,0,0,1,0,1106759689,1444683771,1
Lifeboat (1944),0,0,0,0,0,0,0,0,0,0,0,1,0,1131432128,4276635574,1
Shadow of a Doubt (1943),0,0,0,0,0,0,1,0,0,0,0,1,0,1445896389,8368569065,1
Lady Vanishes The (1938),0,0,1,0,0,0,0,0,0,0,0,1,0,1238389406,6817128241,1
Murder! (1930),0,0,1,0,0,0,0,0,0,0,0,0,0,1134435248,4610571474,1
Lodger: A Story of the London Fog The (1927),0,0,0,0,0,0,1,0,0,0,0,1,0,1026538074,4411142702,1
My Bodyguard (1980),0,0,0,0,0,0,0,0,0,0,0,1,0,9234523,1864406679,0
Broadcast News (1987),0,0,0,0,1,0,0,0,1,0,0,1,0,8157417801,4026126954,0
Say Anything... (1989),0,0,0,0,1,0,0,0,1,0,0,1,0,7075725982,1980929384,1
Few Good Men A (1992),0,0,0,0,0,0,1,0,0,0,0,1,0,1020023465,7481153089,1
Pecker (1998),0,0,0,0,0,0,0,0,1,0,0,1,0,8215507169,369417304,1
Player The (1992),0,0,0,0,0,0,1,0,1,0,0,1,0,11024876,5555040211,1
Stardust Memories (1980),0,0,0,0,0,0,0,0,1,0,0,1,0,1368875917,3348573218,1
Edward Scissorhands (1990),0,0,0,0,1,0,0,1,0,0,0,1,0,9675433019,1831529723,1
Producers The (1968),0,0,0,0,0,0,0,0,1,0,0,0,0,1294954038,4786460078,1
History of the World: Part I (1981),0,0,0,0,0,0,0,0,1,0,0,0,0,118004161,1614170597,1
Nashville (1975),0,0,0,0,0,0,0,0,0,0,0,1,0,9983187721,132159958,1
Children of a Lesser God (1986),0,0,0,0,0,0,0,0,0,0,0,1,0,1320974185,4846787269,0
Elephant Man The (1980),0,0,0,0,0,0,0,0,0,0,0,1,0,9759708418,1159351648,1
Happiness (1998),0,0,0,0,0,0,0,0,1,0,0,1,0,1193623301,1669774452,1
Pleasantville (1998),0,0,0,0,0,0,0,1,1,0,0,1,0,1088452966,558604669,0
Gods and Monsters (1998),0,0,0,0,0,0,0,0,0,0,0,1,0,1015339688,6620111125,1
Elizabeth (1998),0,0,0,0,0,0,0,0,0,0,0,1,0,1098835786,5194369299,1
Runaway Train (1985),0,0,0,0,0,0,0,0,0,0,0,1,1,1129600987,3527535634,1
Desert Bloom (1986),0,0,0,0,0,0,0,0,0,0,0,1,0,1215112009,4037029031,0
Nights of Cabiria (Notti di Cabiria Le) (1957),0,0,0,0,0,0,0,0,0,0,0,1,0,1220619543,1937361492,1
Big Chill The (1983),0,0,0,0,0,0,0,0,1,0,0,1,0,8348806401,8954111591,0
Celebrity (1998),0,0,0,0,0,0,0,0,1,0,0,0,0,8930821438,4576944644,1
Pink Flamingos (1972),0,0,0,0,0,0,0,0,1,0,0,0,0,1093055901,453057259,1
Glen or Glenda (1953),0,0,0,0,0,0,0,0,0,0,0,1,0,1351659355,1520979894,1
King Kong (1933),0,0,0,1,0,0,0,1,0,0,0,0,1,1055098101,735404128,1
King Kong (1976),0,1,0,0,1,0,0,1,0,0,0,0,1,9845673748,4292186643,0
Simple Plan A (1998),0,0,0,0,0,0,1,0,0,0,0,1,0,1203564419,5339389994,1
Rushmore (1998),0,0,0,0,0,0,0,0,1,0,0,1,0,9072153964,2282226393,1
Shakespeare in Love (1998),0,0,0,0,1,0,0,0,1,0,0,1,0,8606794881,4227153698,1
Mass Appeal (1984),0,0,0,0,0,0,0,0,0,0,0,1,0,1055370867,1001900995,0
Romancing the Stone (1984),0,0,0,0,1,0,0,0,1,0,0,0,1,9714604298,2744853047,0
Cocoon (1985),0,1,0,0,0,0,0,0,1,0,0,0,0,1068005871,5750487315,0
Karate Kid The (1984),0,0,0,0,0,0,0,0,0,0,0,1,0,8067301699,7346027211,0
Christmas Vacation (National Lampoon's Christmas Vacation) (1989),0,0,0,0,0,0,0,0,1,0,0,0,0,1178431865,2772396098,0
Affliction (1997),0,0,0,0,0,0,0,0,0,0,0,1,0,9363319148,4028422836,1
Boy Who Could Fly The (1986),0,0,0,0,0,0,0,1,0,0,0,1,0,1159867933,4148205056,0
Fly The (1958),0,1,1,1,0,0,0,0,0,0,0,0,0,8534761066,8521116577,1
Fly The (1986),0,1,0,1,0,0,0,0,0,0,0,1,0,9235167229,2329429502,0
Texas Chainsaw Massacre The (1974),0,0,0,1,0,0,0,0,0,0,0,0,0,6848983844,1108839235,1
Christine (1983),0,0,0,1,0,0,0,0,0,0,0,0,0,1152071617,1060600575,0
Airport (1970),0,0,0,0,0,0,0,0,0,0,0,1,0,1035309768,1815377224,1
Towering Inferno The (1974),0,0,0,0,0,0,0,0,0,0,0,1,1,1035591853,8223534709,1
Westworld (1973),0,1,0,0,0,0,0,0,0,0,0,0,0,1592809018,4426580294,1
Cruel Intentions (1999),0,0,0,0,0,0,0,0,0,0,0,1,0,8763190593,1070463585,0
Rage: Carrie 2 The (1999),0,0,0,1,0,0,0,0,0,0,0,0,0,950924865,1385365083,0
Election (1999),0,0,0,0,0,0,0,0,1,0,0,0,0,7533351752,1282078195,1
Dick Tracy (1990),0,0,0,0,0,0,1,0,0,0,0,0,0,1229024077,7521702602,0
