Titulo,Documentary,Sci-Fi,Mystery,Horror,Romance,Thriller,Crime,Fantasy,Comedy,Animation,Children,Drama,Adventure,Duracao,Investimento,Gostou
Star Wars: Episode I - The Phantom Menace (1999),0,1,0,0,0,0,0,0,0,0,0,0,1,9597847478,936680524,1
Mommie Dearest (1981),0,0,0,0,0,0,0,0,0,0,0,1,0,1414442661,4275239167,1
Dracula (1931),0,0,0,1,0,0,0,0,0,0,0,0,0,1282641905,3545737483,1
Rocky Horror Picture Show The (1975),0,1,0,1,0,0,0,0,1,0,0,0,0,9139525789,4371943969,1
War of the Worlds The (1953),0,1,0,0,0,0,0,0,0,0,0,1,0,9324605502,2776452466,1
Invasion of the Body Snatchers (1956),0,1,0,1,0,0,0,0,0,0,0,0,0,1165065768,7816255681,1
Thirteenth Floor The (1999),0,1,0,0,0,0,0,0,0,0,0,1,0,1087500279,3386456604,0
Austin Powers: The Spy Who Shagged Me (1999),0,0,0,0,0,0,0,0,1,0,0,0,1,1144756291,5291660869,1
Run Lola Run (Lola rennt) (1998),0,0,0,0,0,0,1,0,0,0,0,0,0,8337892814,5791396236,1
Summer of Sam (1999),0,0,0,0,0,0,0,0,0,0,0,1,0,8967707525,3559239092,0
Blair Witch Project The (1999),0,0,0,1,0,0,0,0,0,0,0,1,0,1142532947,386785887,0
Eyes Wide Shut (1999),0,0,1,0,0,0,0,0,0,0,0,1,0,1172686891,5712918933,1
Ghostbusters (a.k.a. Ghost Busters) (1984),0,1,0,0,0,0,0,0,1,0,0,0,0,1072534502,5898278871,1
Ghostbusters II (1989),0,1,0,0,0,0,0,1,1,0,0,0,0,6650804032,351461542,0
Twin Falls Idaho (1999),0,0,0,0,0,0,0,0,0,0,0,1,0,7783709216,7222988229,1
Killing The (1956),0,0,0,0,0,0,1,0,0,0,0,0,0,1051999591,8526335398,1
Spartacus (1960),0,0,0,0,1,0,0,0,0,0,0,1,0,1150905718,2113948128,1
Lolita (1962),0,0,0,0,1,0,0,0,0,0,0,1,0,1024626193,2449225193,1
Barry Lyndon (1975),0,0,0,0,1,0,0,0,0,0,0,1,0,9873093614,1957238584,1
400 Blows The (Les quatre cents coups) (1959),0,0,0,0,0,0,1,0,0,0,0,1,0,1240176293,4659648372,1
Mosquito Coast The (1986),0,0,0,0,0,0,0,0,0,0,0,1,1,1194794582,6517529743,1
Color Purple The (1985),0,0,0,0,0,0,0,0,0,0,0,1,0,1175360468,9281546155,1
Little Shop of Horrors (1986),0,0,0,1,0,0,0,0,1,0,0,0,0,6878030479,3944117862,1
Little Shop of Horrors The (1960),0,0,0,1,0,0,0,0,1,0,0,0,0,1248705688,5638495462,1
Morning After The (1986),0,0,1,0,0,0,0,0,0,0,0,1,0,1035044831,3960810586,1
Radio Days (1987),0,0,0,0,0,0,0,0,1,0,0,1,0,1233853326,1088631044,1
Frances (1982),0,0,0,0,0,0,0,0,0,0,0,1,0,8713572661,3830039035,1
Sixth Sense The (1999),0,0,1,1,0,0,0,0,0,0,0,1,0,136291695,4813226181,1
Thomas Crown Affair The (1968),0,0,0,0,1,0,1,0,0,0,0,1,0,1331558091,2127542832,1
Heaven Can Wait (1978),0,0,0,0,0,0,0,0,1,0,0,0,0,9760785179,431326641,1
Masque of the Red Death The (1964),0,0,0,1,0,0,0,0,0,0,0,0,0,1372032347,2214275316,1
Airplane! (1980),0,0,0,0,0,0,0,0,1,0,0,0,0,8776837415,1462361668,1
American Werewolf in Paris An (1997),0,0,0,1,1,0,0,0,1,0,0,0,0,123188939,6832888113,1
National Lampoon's Vacation (1983),0,0,0,0,0,0,0,0,1,0,0,0,0,1108544155,4087019947,1
Big (1988),0,0,0,0,1,0,0,1,1,0,0,1,0,1202959336,3864679824,0
Christmas Story A (1983),0,0,0,0,0,0,0,0,1,0,1,0,0,1008315212,1845243098,1
Hamlet (1964),0,0,0,0,0,0,0,0,0,0,0,1,0,1084035138,2195428474,1
Minus Man The (1999),0,0,1,0,0,0,0,0,0,0,0,1,0,1094097778,1395641301,1
Soldier's Story A (1984),0,0,0,0,0,0,0,0,0,0,0,1,0,1204831214,4575407098,1
Yellow Submarine (1968),0,0,0,0,0,0,0,1,1,1,0,0,1,1096891292,4122520401,1
American Beauty (1999),0,0,0,0,1,0,0,0,0,0,0,1,0,1585059658,1600269262,1
Stop Making Sense (1984),1,0,0,0,0,0,0,0,0,0,0,0,0,1144843199,2526630544,0
Hard Day's Night A (1964),0,0,0,0,0,0,0,0,1,0,0,0,1,1124003575,4239854402,0
Buddy Holly Story The (1978),0,0,0,0,0,0,0,0,0,0,0,1,0,1249864094,7437321399,1
Deliverance (1972),0,0,0,0,0,0,0,0,0,0,0,1,1,1139909293,2175218835,1
Excalibur (1981),0,0,0,0,0,0,0,1,0,0,0,0,1,8503051858,9504849343,0
Mumford (1999),0,0,0,0,0,0,0,0,1,0,0,1,0,1356578202,2815305825,1
Three Kings (1999),0,0,0,0,0,0,0,0,1,0,0,1,1,9118173431,1146992763,1
Psycho II (1983),0,0,1,1,0,0,0,0,0,0,0,0,0,1182292098,1314475677,0
Risky Business (1983),0,0,0,0,0,0,0,0,1,0,0,0,0,1163418575,1110403249,1
Body Heat (1981),0,0,0,0,0,0,1,0,0,0,0,0,0,6141464382,1559855736,1
Ferris Bueller's Day Off (1986),0,0,0,0,0,0,0,0,1,0,0,0,0,1109740574,5308431802,1
Year of Living Dangerously The (1982),0,0,0,0,1,0,0,0,0,0,0,1,0,1149989925,8544058035,1
Children of Paradise (Les enfants du paradis) (1945),0,0,0,0,1,0,0,0,0,0,0,1,0,1322991006,1899010686,1
High Plains Drifter (1973),0,0,0,0,0,0,0,0,0,0,0,0,0,947141534,1071038196,1
Hang 'Em High (1968),0,0,0,0,0,0,1,0,0,0,0,1,0,8784735504,2386684518,1
Conformist The (Conformista Il) (1970),0,0,0,0,0,0,0,0,0,0,0,1,0,1113221774,4222166322,1
Hairspray (1988),0,0,0,0,0,0,0,0,1,0,0,1,0,1197494483,3173738491,1
Reds (1981),0,0,0,0,1,0,0,0,0,0,0,1,0,1237369053,1497373877,1
Days of Heaven (1978),0,0,0,0,0,0,0,0,0,0,0,1,0,8697143641,1233251191,1
Dirty Dozen The (1967),0,0,0,0,0,0,0,0,0,0,0,1,0,1176384267,9531222328,1
Goldfinger (1964),0,0,0,0,0,0,0,0,0,0,0,0,1,9109548726,4012419171,1
From Russia with Love (1963),0,0,0,0,0,0,0,0,0,0,0,0,1,9317576975,4487160445,1
Dr. No (1962),0,0,0,0,0,0,0,0,0,0,0,0,1,1034580852,5633388194,1
Fistful of Dollars A (Per un pugno di dollari) (1964),0,0,0,0,0,0,0,0,0,0,0,0,0,1203300448,1434834673,1
Straight Story The (1999),0,0,0,0,0,0,0,0,0,0,0,1,1,8469164734,3800529817,1
Time Bandits (1981),0,1,0,0,0,0,0,1,1,0,0,0,1,1172604098,242158403,1
Fitzcarraldo (1982),0,0,0,0,0,0,0,0,0,0,0,1,1,113170838,1497762822,1
Crimes and Misdemeanors (1989),0,0,0,0,0,0,1,0,1,0,0,1,0,1063081748,1396091258,1
Who Framed Roger Rabbit? (1988),0,0,1,0,0,0,1,1,1,1,1,0,1,9431296107,6411933175,0
Thunderball (1965),0,0,0,0,0,0,0,0,0,0,0,0,1,1014430252,7127002847,1
Being John Malkovich (1999),0,0,0,0,0,0,0,1,1,0,0,1,0,133014473,1349858219,1
Insider The (1999),0,0,0,0,0,0,0,0,0,0,0,1,0,1008105093,9450239036,1
American Movie (1999),1,0,0,0,0,0,0,0,0,0,0,0,0,6637185484,3455018024,1
They Shoot Horses Don't They? (1969),0,0,0,0,0,0,0,0,0,0,0,1,0,985646612,1333089401,1
Re-Animator (1985),0,1,0,1,0,0,0,0,1,0,0,0,0,890846591,4684892311,1
Drugstore Cowboy (1989),0,0,0,0,0,0,1,0,0,0,0,1,0,1393030911,5619323354,1
General The (1926),0,0,0,0,0,0,0,0,1,0,0,0,0,8187352274,3474456452,1
Little Big Man (1970),0,0,0,0,0,0,0,0,0,0,0,0,0,9576152319,3231798526,1
Trading Places (1983),0,0,0,0,0,0,0,0,1,0,0,0,0,1176592338,2451665066,0
Commitments The (1991),0,0,0,0,0,0,0,0,1,0,0,1,0,1074555041,1683610388,0
Holiday Inn (1942),0,0,0,0,0,0,0,0,1,0,0,0,0,8706188707,1284146877,1
Longest Day The (1962),0,0,0,0,0,0,0,0,0,0,0,1,0,13405215,1258978995,1
Tora! Tora! Tora! (1970),0,0,0,0,0,0,0,0,0,0,0,1,0,1253461748,1559051041,1
Women on the Verge of a Nervous Breakdown (Mujeres al borde de un ataque de nervios) (1988),0,0,0,0,0,0,0,0,1,0,0,1,0,112485598,9279365357,1
Verdict The (1982),0,0,1,0,0,0,0,0,0,0,0,1,0,9671978384,3868610226,1
Stand and Deliver (1988),0,0,0,0,0,0,0,0,1,0,0,1,0,9871685553,2463626169,0
Moonstruck (1987),0,0,0,0,1,0,0,0,1,0,0,0,0,9992704831,4399361628,1
Sleepy Hollow (1999),0,0,1,1,1,0,0,1,0,0,0,0,0,1098036368,3733444307,1
Harvey (1950),0,0,0,0,0,0,0,1,1,0,0,0,0,8807068288,3304566356,1
Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948),0,0,0,0,0,0,0,0,0,0,0,1,0,1293618533,1724310388,1
McCabe & Mrs. Miller (1971),0,0,0,0,0,0,0,0,0,0,0,1,0,5101601734,4435146089,1
Grapes of Wrath The (1940),0,0,0,0,0,0,0,0,0,0,0,1,0,7966251797,8753055189,1
Natural The (1984),0,0,0,0,0,0,0,0,0,0,0,1,0,8525178593,6047822089,1
Sweet and Lowdown (1999),0,0,0,0,0,0,0,0,1,0,0,1,0,9760698658,1989346581,1
Bonfire of the Vanities (1990),0,0,0,0,0,0,1,0,1,0,0,1,0,1221539961,4405220875,0
Grand Illusion (La grande illusion) (1937),0,0,0,0,0,0,0,0,0,0,0,1,0,1319137678,4780864423,1
Cradle Will Rock (1999),0,0,0,0,0,0,0,0,0,0,0,1,0,1034059569,4291631156,1
Green Mile The (1999),0,0,0,0,0,0,1,0,0,0,0,1,0,1119325564,256669573,0
Last Picture Show The (1971),0,0,0,0,0,0,0,0,0,0,0,1,0,1043538854,7008333108,1
Topsy-Turvy (1999),0,0,0,0,0,0,0,0,1,0,0,1,0,1553682861,1043180559,1
Easy Rider (1969),0,0,0,0,0,0,0,0,0,0,0,1,1,1272052766,4980134559,1
The Falcon and the Snowman (1985),0,0,0,0,0,0,1,0,0,0,0,1,0,1121734127,1175417284,0
Talented Mr. Ripley The (1999),0,0,1,0,0,0,0,0,0,0,0,1,0,9837686627,7411566116,0
Angela's Ashes (1999),0,0,0,0,0,0,0,0,0,0,0,1,0,9080352059,3102523423,0
Stalag 17 (1953),0,0,0,0,0,0,0,0,0,0,0,1,0,8383596703,389046474,1
Papillon (1973),0,0,0,0,0,0,1,0,0,0,0,1,0,7274986897,5437068587,1
Five Easy Pieces (1970),0,0,0,0,0,0,0,0,0,0,0,1,0,122394296,4044995131,1
Dead Calm (1989),0,0,0,0,0,0,0,0,0,0,0,0,0,1276923716,1244154125,1
Fast Times at Ridgemont High (1982),0,0,0,0,1,0,0,0,1,0,0,1,0,8916973709,365304746,1
Poison (1991),0,0,0,0,0,0,0,0,0,0,0,1,0,9360345539,9662055981,1
Zed & Two Noughts A (1985),0,0,0,0,0,0,0,0,0,0,0,1,0,8568882898,4769004666,1
Woman in the Dunes (Suna no onna) (1964),0,0,0,0,0,0,0,0,0,0,0,1,0,1156295704,1661309382,1
Malcolm X (1992),0,0,0,0,0,0,0,0,0,0,0,1,0,7218458839,4719650001,1
Alive (1993),0,0,0,0,0,0,0,0,0,0,0,1,0,1278085326,7091165427,1
Agnes of God (1985),0,0,1,0,0,0,0,0,0,0,0,1,0,1127593379,8249325017,0
Wayne's World (1992),0,0,0,0,0,0,0,0,1,0,0,0,0,1161293134,3350903241,0
League of Their Own A (1992),0,0,0,0,0,0,0,0,1,0,0,1,0,1333339693,5099196584,1
Twin Peaks: Fire Walk with Me (1992),0,0,1,0,0,0,1,0,0,0,0,1,0,1233020617,6935058127,0
Buffy the Vampire Slayer (1992),0,0,0,1,0,0,0,0,1,0,0,0,0,6120512019,9867580353,1
Hard-Boiled (Lat sau san taam) (1992),0,0,0,0,0,0,1,0,0,0,0,1,0,1463002528,2832477583,1
Man Bites Dog (C'est arriv� pr�s de chez vous) (1992),0,0,0,0,0,0,1,0,1,0,0,1,0,1122964612,2179983153,1
Scream 3 (2000),0,0,1,1,0,0,0,0,1,0,0,0,0,10805929,5452934027,0
Beach The (2000),0,0,0,0,0,0,0,0,0,0,0,1,1,1068850394,2484813869,0
Whole Nine Yards The (2000),0,0,0,0,0,0,1,0,1,0,0,0,0,1145125146,1724320941,0
City Lights (1931),0,0,0,0,1,0,0,0,1,0,0,1,0,13602562,2201103594,1
Flamingo Kid The (1984),0,0,0,0,0,0,0,0,1,0,0,1,0,121804653,8588591388,0
Wonder Boys (2000),0,0,0,0,0,0,0,0,1,0,0,1,0,1001113285,5328858763,0
Drowning Mona (2000),0,0,0,0,0,0,0,0,1,0,0,0,0,1208106733,4983663047,0
Beyond the Mat (1999),1,0,0,0,0,0,0,0,0,0,0,0,0,7964106846,2346820951,0
The Year My Voice Broke (1987),0,0,0,0,1,0,0,0,0,0,0,1,0,1092392596,1867436351,1
Birdy (1984),0,0,0,0,0,0,0,0,0,0,0,1,0,1185687606,4279727329,0
Raisin in the Sun A (1961),0,0,0,0,0,0,0,0,0,0,0,1,0,1314634438,1209248064,1
Mission to Mars (2000),0,1,0,0,0,0,0,0,0,0,0,0,0,1511059331,3477804682,0
Defending Your Life (1991),0,0,0,0,1,0,0,1,1,0,0,1,0,1392138902,6674620075,1
Hoosiers (a.k.a. Best Shot) (1986),0,0,0,0,1,0,0,0,0,0,0,1,0,1056946507,3443174538,1
Bull Durham (1988),0,0,0,0,1,0,0,0,1,0,0,1,0,1238757717,1290088738,0
Dog Day Afternoon (1975),0,0,0,0,0,0,1,0,0,0,0,1,0,8810661827,1701337471,1
American Graffiti (1973),0,0,0,0,0,0,0,0,1,0,0,1,0,1408824788,3690126286,1
Searchers The (1956),0,0,0,0,0,0,0,0,0,0,0,1,0,1195997814,1855289831,1
JFK (1991),0,0,1,0,0,0,0,0,0,0,0,1,0,9870805396,4508010743,0
Muppet Movie The (1979),0,0,0,0,0,0,0,0,1,0,1,0,1,101095093,9578880335,1
Erin Brockovich (2000),0,0,0,0,0,0,0,0,0,0,0,1,0,1137327778,1129918988,0
Thelma & Louise (1991),0,0,0,0,0,0,1,0,0,0,0,1,1,100562533,9427063585,1
...And Justice for All (1979),0,0,0,0,0,0,0,0,0,0,0,1,0,1034727256,3538730627,1
Animal House (1978),0,0,0,0,0,0,0,0,1,0,0,0,0,1216876225,8756371674,0
She's Gotta Have It (1986),0,0,0,0,1,0,0,0,1,0,0,0,0,9888318104,1964560411,1
Do the Right Thing (1989),0,0,0,0,0,0,0,0,0,0,0,1,0,1334315671,6389693301,1
Jungle Fever (1991),0,0,0,0,1,0,0,0,0,0,0,1,0,1141361074,209047835,1
Champ The (1979),0,0,0,0,0,0,0,0,0,0,0,1,0,1199064755,2725127912,1
Double Indemnity (1944),0,0,0,0,0,0,1,0,0,0,0,1,0,1467773882,383395916,1
Red Dawn (1984),0,0,0,0,0,0,0,0,0,0,0,1,0,1233282597,3924677154,0
Good Morning Vietnam (1987),0,0,0,0,0,0,0,0,1,0,0,1,0,1176787116,9046285461,0
Guess Who's Coming to Dinner (1967),0,0,0,0,0,0,0,0,0,0,0,1,0,8903692857,5714372103,1
Lord of the Flies (1963),0,0,0,0,0,0,0,0,0,0,0,1,1,7334529099,6763269299,1
Modern Times (1936),0,0,0,0,1,0,0,0,1,0,0,1,0,9079260572,2952289967,1
Hustler The (1961),0,0,0,0,0,0,0,0,0,0,0,1,0,1005059045,8588523021,1
Inherit the Wind (1960),0,0,0,0,0,0,0,0,0,0,0,1,0,1012360295,8639331142,1
Close Encounters of the Third Kind (1977),0,1,0,0,0,0,0,0,0,0,0,1,1,9268674263,487897061,1
Bamba La (1987),0,0,0,0,0,0,0,0,0,0,0,1,0,10193815,3866258473,0
Ladyhawke (1985),0,0,0,0,1,0,0,1,0,0,0,0,1,903871461,43029346,1
High Fidelity (2000),0,0,0,0,1,0,0,0,1,0,0,1,0,9841218383,5249224007,1
Skulls The (2000),0,0,0,0,0,0,0,0,0,0,0,0,0,1137175072,2901292199,0
Misery (1990),0,0,0,1,0,0,0,0,0,0,0,1,0,1369673148,1597306281,1
Solaris (Solyaris) (1972),0,1,1,0,0,0,0,0,0,0,0,1,0,1005167099,253237741,1
Network (1976),0,0,0,0,0,0,0,0,1,0,0,1,0,1090170986,9931355066,1
Outlaw Josey Wales The (1976),0,0,0,0,0,0,0,0,0,0,0,1,1,9994867339,2281038226,1
Ready to Rumble (2000),0,0,0,0,0,0,0,0,1,0,0,0,0,1059510193,5627711652,0
Force 10 from Navarone (1978),0,0,0,0,0,0,0,0,0,0,0,1,0,9556904718,1496499332,1
Mystery Train (1989),0,0,0,0,0,0,0,0,1,0,0,1,0,1032780575,61284602,1
Parenthood (1989),0,0,0,0,0,0,0,0,1,0,0,1,0,1303021854,6945898767,0
Prince of Tides The (1991),0,0,0,0,1,0,0,0,0,0,0,1,0,1168893595,3330682532,0
Postman Always Rings Twice The (1981),0,0,0,0,0,0,1,0,0,0,0,0,0,1394432479,5651067125,1
East is East (1999),0,0,0,0,0,0,0,0,1,0,0,0,0,1214639865,4608715622,0
Diner (1982),0,0,0,0,0,0,0,0,1,0,0,1,0,1112593917,4308882992,1
Shakes the Clown (1992),0,0,0,0,0,0,0,0,1,0,0,0,0,1256185541,1513058689,1
Cabaret (1972),0,0,0,0,0,0,0,0,0,0,0,1,0,1011711382,1053249825,1
What Ever Happened to Baby Jane? (1962),0,0,0,1,0,0,0,0,0,0,0,1,0,8172759223,6092952609,1
Prick Up Your Ears (1987),0,0,0,0,0,0,0,0,1,0,0,1,0,9290406161,5411502613,1
Auntie Mame (1958),0,0,0,0,0,0,0,0,1,0,0,1,0,8133300263,4820123735,1
Guys and Dolls (1955),0,0,0,0,1,0,0,0,1,0,0,0,0,1188222284,6975471974,1
The Hunger (1983),0,0,0,1,0,0,0,0,0,0,0,0,0,1260877171,7297229493,1
Marathon Man (1976),0,0,0,0,0,0,1,0,0,0,0,1,0,1377679684,3544640767,1
Caddyshack (1980),0,0,0,0,0,0,0,0,1,0,0,0,0,8638051322,2808532731,1
Flintstones in Viva Rock Vegas The (2000),0,0,0,0,0,0,0,0,1,0,1,0,0,8163096406,2349249962,0
Where the Heart Is (2000),0,0,0,0,0,0,0,0,1,0,0,1,0,9575259966,6182309636,0
Big Kahuna The (2000),0,0,0,0,0,0,0,0,1,0,0,1,0,7139853393,2186205083,1
King of Marvin Gardens The (1972),0,0,0,0,0,0,1,0,0,0,0,1,0,7498155563,4802636173,1
Lords of Flatbush The (1974),0,0,0,0,0,0,0,0,1,0,0,1,0,1238394744,3545434576,1
Mr. Mom (1983),0,0,0,0,0,0,0,0,1,0,0,1,0,1042173207,836035493,0
On the Town (1949),0,0,0,0,1,0,0,0,1,0,0,0,0,8579453086,3802741897,1
Pee-wee's Big Adventure (1985),0,0,0,0,0,0,0,0,1,0,0,0,1,1075215349,2308739977,1
Regret to Inform (1998),1,0,0,0,0,0,0,0,0,0,0,0,0,106736828,49528401,1
Honeymoon in Vegas (1992),0,0,0,0,1,0,0,0,1,0,0,0,0,1236654894,3129290932,1
Small Time Crooks (2000),0,0,0,0,0,0,1,0,1,0,0,0,0,1190541143,1031248278,1
On Her Majesty's Secret Service (1969),0,0,0,0,1,0,0,0,0,0,0,0,1,1138335683,6278138583,1
Spy Who Loved Me The (1977),0,0,0,0,0,0,0,0,0,0,0,0,1,5600668141,5368303548,1
Man with the Golden Gun The (1974),0,0,0,0,0,0,0,0,0,0,0,0,1,1017745989,2292649574,1
Blow-Out (La grande bouffe) (1973),0,0,0,0,0,0,0,0,0,0,0,1,0,1100307132,7832110353,1
Romeo and Juliet (1968),0,0,0,0,1,0,0,0,0,0,0,1,0,8981761949,448613521,1
Blazing Saddles (1974),0,0,0,0,0,0,0,0,1,0,0,0,0,1079960213,1181059772,1
White Christmas (1954),0,0,0,0,1,0,0,0,1,0,0,0,0,9487720827,2453822749,1
Eraserhead (1977),0,0,0,1,0,0,0,0,0,0,0,1,0,7901015174,3502046482,1
Man with the Golden Arm The (1955),0,0,0,0,0,0,0,0,0,0,0,1,0,1470320941,3819352624,1
Decline of Western Civilization The (1981),1,0,0,0,0,0,0,0,0,0,0,0,0,1161903609,1736523631,1
Decline of Western Civilization Part II: The Metal Years The (1988),1,0,0,0,0,0,0,0,0,0,0,0,0,1253972676,1584403836,1
For a Few Dollars More (Per qualche dollaro in pi�) (1965),0,0,0,0,0,0,0,0,0,0,0,1,0,1068294257,2019323192,1
Blood Simple (1984),0,0,0,0,0,0,1,0,0,0,0,1,0,7848857144,9684573428,1
Prizzi's Honor (1985),0,0,0,0,1,0,0,0,1,0,0,1,0,9514020923,3636477526,1
Running Man The (1987),0,1,0,0,0,0,0,0,0,0,0,0,0,1240547192,1142626768,0
Brother from Another Planet The (1984),0,1,0,0,0,0,0,0,0,0,0,1,0,1143203045,5806249891,1
Mad Max (1979),0,1,0,0,0,0,0,0,0,0,0,0,1,7562071986,9419749709,1
Road Warrior The (Mad Max 2) (1981),0,1,0,0,0,0,0,0,0,0,0,0,1,103331081,1004373992,1
Mad Max Beyond Thunderdome (1985),0,1,0,0,0,0,0,0,0,0,0,0,1,1213238343,6250090872,0
Angel Heart (1987),0,0,1,1,0,0,0,0,0,0,0,0,0,1448268984,4028272495,0
Firestarter (1984),0,0,0,1,0,0,0,0,0,0,0,0,0,808144254,1458639521,0
Coming Home (1978),0,0,0,0,0,0,0,0,0,0,0,1,0,1036196596,1811976805,1
Shaft (1971),0,0,0,0,0,0,1,0,0,0,0,1,0,1080378593,5784904904,1
Conversation The (1974),0,0,1,0,0,0,0,0,0,0,0,1,0,125506826,4371403635,1
Paper Chase The (1973),0,0,0,0,0,0,0,0,0,0,0,1,0,9921015828,1259708838,1
Prince of the City (1981),0,0,0,0,0,0,0,0,0,0,0,1,0,115165861,3978543513,1
Serpico (1973),0,0,0,0,0,0,1,0,0,0,0,1,0,1136731583,1333113809,1
Big Trouble in Little China (1986),0,0,0,0,0,0,0,1,1,0,0,0,1,1099765113,1030276981,0
Badlands (1973),0,0,0,0,0,0,1,0,0,0,0,1,0,1403696069,1521636221,1
Battleship Potemkin (1925),0,0,0,0,0,0,0,0,0,0,0,1,0,1240958138,4132460872,1
M*A*S*H (a.k.a. MASH) (1970),0,0,0,0,0,0,0,0,1,0,0,1,0,8723197904,2522440499,1